, x , y , z , U3
0,-0.1,-0.1,0.9,3.80999954338e-05
1,-0.1,0.1,0.9,2.88705753522e-05
2,0.1,0.1,0.9,3.54918766982e-05
3,0.1,-0.1,0.9,4.72555989521e-05
4,-0.1,-0.0972603,0.9,4.19339790025e-05
5,-0.1,-0.0945205,0.9,4.58186387504e-05
6,-0.1,-0.0917808,0.9,5.11888678764e-05
7,-0.1,-0.0890411,0.9,5.60302451156e-05
8,-0.1,-0.0863014,0.9,6.30429590513e-05
9,-0.1,-0.0835616,0.9,6.95141565689e-05
10,-0.1,-0.0808219,0.9,7.802908006e-05
11,-0.1,-0.0780822,0.9,8.6889055914e-05
12,-0.1,-0.0753425,0.9,9.68803089418e-05
13,-0.1,-0.0726027,0.9,0.000108207145772
14,-0.1,-0.069863,0.9,0.000120337352178
15,-0.1,-0.0671233,0.9,0.000134189490707
16,-0.1,-0.0643836,0.9,0.000148715530804
17,-0.1,-0.0616438,0.9,0.000164853124061
18,-0.1,-0.0589041,0.9,0.000182009758861
19,-0.1,-0.0561644,0.9,0.00019982408089
20,-0.1,-0.0534247,0.9,0.000218380072068
21,-0.1,-0.0506849,0.9,0.000237635359637
22,-0.1,-0.0479452,0.9,0.000256578295982
23,-0.1,-0.0452055,0.9,0.000276770123673
24,-0.1,-0.0424658,0.9,0.000295058245934
25,-0.1,-0.039726,0.9,0.000313767308969
26,-0.1,-0.0369863,0.9,0.000329361192486
27,-0.1,-0.0342466,0.9,0.000345010090642
28,-0.1,-0.0315068,0.9,0.000357774692649
29,-0.1,-0.0287671,0.9,0.000369519679745
30,-0.1,-0.0260274,0.9,0.000376755865466
31,-0.1,-0.0232877,0.9,0.000382313718724
32,-0.1,-0.0205479,0.9,0.000383226032467
33,-0.1,-0.0178082,0.9,0.000382992060072
34,-0.1,-0.0150685,0.9,0.000377798651743
35,-0.1,-0.0123288,0.9,0.000368787717383
36,-0.1,-0.00958904,0.9,0.000356497571221
37,-0.1,-0.00684932,0.9,0.000344394109481
38,-0.1,-0.00410959,0.9,0.000328290258966
39,-0.1,-0.00136986,0.9,0.000312855080042
40,-0.1,0.00136986,0.9,0.000292494168651
41,-0.1,0.00410959,0.9,0.000275350557731
42,-0.1,0.00684932,0.9,0.000254022212029
43,-0.1,0.00958904,0.9,0.000234754339286
44,-0.1,0.0123288,0.9,0.000215622908015
45,-0.1,0.0150685,0.9,0.000197296421041
46,-0.1,0.0178082,0.9,0.000180084682947
47,-0.1,0.0205479,0.9,0.000163469047656
48,-0.1,0.0232877,0.9,0.000149280380793
49,-0.1,0.0260274,0.9,0.00013499000888
50,-0.1,0.0287671,0.9,0.000123952943212
51,-0.1,0.0315068,0.9,0.000112268166378
52,-0.1,0.0342466,0.9,0.000104187033925
53,-0.1,0.0369863,0.9,9.52035528761e-05
54,-0.1,0.039726,0.9,8.92110657453e-05
55,-0.1,0.0424658,0.9,8.27853714253e-05
56,-0.1,0.0452055,0.9,7.80847452888e-05
57,-0.1,0.0479452,0.9,7.32204618819e-05
58,-0.1,0.0506849,0.9,6.94734989052e-05
59,-0.1,0.0534247,0.9,6.5411229337e-05
60,-0.1,0.0561644,0.9,6.25438570503e-05
61,-0.1,0.0589041,0.9,5.9088714664e-05
62,-0.1,0.0616438,0.9,5.66656042422e-05
63,-0.1,0.0643836,0.9,5.36430535343e-05
64,-0.1,0.0671233,0.9,5.16597788985e-05
65,-0.1,0.069863,0.9,4.90285749231e-05
66,-0.1,0.0726027,0.9,4.71276666225e-05
67,-0.1,0.0753425,0.9,4.47487346183e-05
68,-0.1,0.0780822,0.9,4.32282921471e-05
69,-0.1,0.0808219,0.9,4.09491898801e-05
70,-0.1,0.0835616,0.9,3.95484025488e-05
71,-0.1,0.0863014,0.9,3.70643592784e-05
72,-0.1,0.0890411,0.9,3.57806209197e-05
73,-0.1,0.0917808,0.9,3.3541519137e-05
74,-0.1,0.0945205,0.9,3.23354365182e-05
75,-0.1,0.0972603,0.9,3.03786892665e-05
76,-0.0972603,0.1,0.9,3.13492601805e-05
77,-0.0945205,0.1,0.9,3.40311742692e-05
78,-0.0917808,0.1,0.9,3.68226387188e-05
79,-0.0890411,0.1,0.9,4.06941877349e-05
80,-0.0863014,0.1,0.9,4.45357585941e-05
81,-0.0835616,0.1,0.9,4.91852080037e-05
82,-0.0808219,0.1,0.9,5.45161684182e-05
83,-0.0780822,0.1,0.9,6.03906191986e-05
84,-0.0753425,0.1,0.9,6.72572530218e-05
85,-0.0726027,0.1,0.9,7.50454893515e-05
86,-0.069863,0.1,0.9,8.37700190365e-05
87,-0.0671233,0.1,0.9,9.37061207488e-05
88,-0.0643836,0.1,0.9,0.000104917085504
89,-0.0616438,0.1,0.9,0.000117072954157
90,-0.0589041,0.1,0.9,0.000131163232599
91,-0.0561644,0.1,0.9,0.000145837474893
92,-0.0534247,0.1,0.9,0.000163107171865
93,-0.0506849,0.1,0.9,0.000180560645592
94,-0.0479452,0.1,0.9,0.000200406903689
95,-0.0452055,0.1,0.9,0.000220532674109
96,-0.0424658,0.1,0.9,0.000241987586756
97,-0.039726,0.1,0.9,0.000264311188987
98,-0.0369863,0.1,0.9,0.000286691290728
99,-0.0342466,0.1,0.9,0.000308880278753
100,-0.0315068,0.1,0.9,0.000330735622895
101,-0.0287671,0.1,0.9,0.000350034004025
102,-0.0260274,0.1,0.9,0.000369224361719
103,-0.0232877,0.1,0.9,0.000383897524774
104,-0.0205479,0.1,0.9,0.000395901796009
105,-0.0178082,0.1,0.9,0.000407016395511
106,-0.0150685,0.1,0.9,0.000412012486946
107,-0.0123288,0.1,0.9,0.000413976375125
108,-0.00958904,0.1,0.9,0.000411523476061
109,-0.00684932,0.1,0.9,0.000404659509278
110,-0.00410959,0.1,0.9,0.000392993198868
111,-0.00136986,0.1,0.9,0.000382262010862
112,0.00136986,0.1,0.9,0.000365834237814
113,0.00410959,0.1,0.9,0.000348753544309
114,0.00684932,0.1,0.9,0.000328624105899
115,0.00958904,0.1,0.9,0.000307992511888
116,0.0123288,0.1,0.9,0.000286746955077
117,0.0150685,0.1,0.9,0.000265158116246
118,0.0178082,0.1,0.9,0.000244973393475
119,0.0205479,0.1,0.9,0.000224836293058
120,0.0232877,0.1,0.9,0.000205844550072
121,0.0260274,0.1,0.9,0.000188673992465
122,0.0287671,0.1,0.9,0.000172460243128
123,0.0315068,0.1,0.9,0.000157662958937
124,0.0342466,0.1,0.9,0.000144462932426
125,0.0369863,0.1,0.9,0.000132066157292
126,0.039726,0.1,0.9,0.000121342569995
127,0.0424658,0.1,0.9,0.000111592974325
128,0.0452055,0.1,0.9,0.000102840828975
129,0.0479452,0.1,0.9,9.55194521544e-05
130,0.0506849,0.1,0.9,8.83463366654e-05
131,0.0534247,0.1,0.9,8.25774850407e-05
132,0.0561644,0.1,0.9,7.68380778684e-05
133,0.0589041,0.1,0.9,7.24843766042e-05
134,0.0616438,0.1,0.9,6.78780017331e-05
135,0.0643836,0.1,0.9,6.44847822207e-05
136,0.0671233,0.1,0.9,6.08572629932e-05
137,0.069863,0.1,0.9,5.82202341829e-05
138,0.0726027,0.1,0.9,5.54657677375e-05
139,0.0753425,0.1,0.9,5.29532372869e-05
140,0.0780822,0.1,0.9,5.07070617622e-05
141,0.0808219,0.1,0.9,4.86142027885e-05
142,0.0835616,0.1,0.9,4.67231208089e-05
143,0.0863014,0.1,0.9,4.46591904282e-05
144,0.0890411,0.1,0.9,4.28851888091e-05
145,0.0917808,0.1,0.9,4.09536425328e-05
146,0.0945205,0.1,0.9,3.91925764733e-05
147,0.0972603,0.1,0.9,3.73347230144e-05
148,0.0972603,-0.1,0.9,5.23382384692e-05
149,0.0945205,-0.1,0.9,5.73500931067e-05
150,0.0917808,-0.1,0.9,6.40717907608e-05
151,0.0890411,-0.1,0.9,7.0529304534e-05
152,0.0863014,-0.1,0.9,7.86918511308e-05
153,0.0835616,-0.1,0.9,8.73060383795e-05
154,0.0808219,-0.1,0.9,9.72373411995e-05
155,0.0780822,-0.1,0.9,0.00010850687412
156,0.0753425,-0.1,0.9,0.000120520592831
157,0.0726027,-0.1,0.9,0.000133817956488
158,0.069863,-0.1,0.9,0.000148393258561
159,0.0671233,-0.1,0.9,0.000164382147707
160,0.0643836,-0.1,0.9,0.000181246093144
161,0.0616438,-0.1,0.9,0.000200012802407
162,0.0589041,-0.1,0.9,0.000219000057422
163,0.0561644,-0.1,0.9,0.000239856975488
164,0.0534247,-0.1,0.9,0.000260426612097
165,0.0506849,-0.1,0.9,0.00028177042431
166,0.0479452,-0.1,0.9,0.000303679780962
167,0.0452055,-0.1,0.9,0.000324165746995
168,0.0424658,-0.1,0.9,0.000344087131876
169,0.039726,-0.1,0.9,0.000362478894994
170,0.0369863,-0.1,0.9,0.000379616664823
171,0.0342466,-0.1,0.9,0.000394504034458
172,0.0315068,-0.1,0.9,0.000405599536995
173,0.0287671,-0.1,0.9,0.000412063577031
174,0.0260274,-0.1,0.9,0.00041677637091
175,0.0232877,-0.1,0.9,0.000417641689244
176,0.0205479,-0.1,0.9,0.000415846263766
177,0.0178082,-0.1,0.9,0.00041146792406
178,0.0150685,-0.1,0.9,0.000401609108103
179,0.0123288,-0.1,0.9,0.000389592668309
180,0.00958904,-0.1,0.9,0.000375450138709
181,0.00684932,-0.1,0.9,0.000357934371655
182,0.00410959,-0.1,0.9,0.000340624702374
183,0.00136986,-0.1,0.9,0.000321188270854
