,x,y,z,U3
0,-0.100000001,-0.100000001,0.899999976,0.000281717
1,-0.100000001,0.100000001,0.899999976,0.000477927
2,0.100000001,0.100000001,0.899999976,0.000322125
3,0.100000001,-0.100000001,0.899999976,0.000624185
4,-0.100000001,-0.097260274,0.899999976,0.000310942
5,-0.100000001,-0.0945205465,0.899999976,0.000341741
6,-0.100000001,-0.091780819,0.899999976,0.000375715
7,-0.100000001,-0.089041099,0.899999976,0.000412592
8,-0.100000001,-0.0863013715,0.899999976,0.000449324
9,-0.100000001,-0.083561644,0.899999976,0.000490734
10,-0.100000001,-0.0808219165,0.899999976,0.000533286
11,-0.100000001,-0.078082189,0.899999976,0.000579621
12,-0.100000001,-0.0753424689,0.899999976,0.000629298
13,-0.100000001,-0.0726027414,0.899999976,0.00068257
14,-0.100000001,-0.0698630139,0.899999976,0.0007395
15,-0.100000001,-0.0671232864,0.899999976,0.000805149
16,-0.100000001,-0.0643835589,0.899999976,0.000870068
17,-0.100000001,-0.0616438352,0.899999976,0.000949506
18,-0.100000001,-0.0589041114,0.899999976,0.00103666
19,-0.100000001,-0.0561643839,0.899999976,0.00113214
20,-0.100000001,-0.0534246564,0.899999976,0.00124568
21,-0.100000001,-0.0506849326,0.899999976,0.00135971
22,-0.100000001,-0.0479452051,0.899999976,0.00149581
23,-0.100000001,-0.0452054776,0.899999976,0.00163872
24,-0.100000001,-0.0424657539,0.899999976,0.00176547
25,-0.100000001,-0.0397260264,0.899999976,0.00192455
26,-0.100000001,-0.0369863026,0.899999976,0.00204408
27,-0.100000001,-0.0342465751,0.899999976,0.00216573
28,-0.100000001,-0.0315068476,0.899999976,0.00220197
29,-0.100000001,-0.0287671238,0.899999976,0.00250244
30,-0.100000001,-0.0260273982,0.899999976,0.0027047
31,-0.100000001,-0.0232876707,0.899999976,0.00298004
32,-0.100000001,-0.0205479451,0.899999976,0.00311764
33,-0.100000001,-0.0178082194,0.899999976,0.00329856
34,-0.100000001,-0.0150684929,0.899999976,0.00335193
35,-0.100000001,-0.0123287672,0.899999976,0.00342178
36,-0.100000001,-0.00958904065,0.899999976,0.00358043
37,-0.100000001,-0.00684931502,0.899999976,0.0031825
38,-0.100000001,-0.00410958892,0.899999976,0.00157756
39,-0.100000001,-0.00136986305,0.899999976,0.000227214
40,-0.100000001,0.00136986305,0.899999976,-0.00105584
41,-0.100000001,0.00410958892,0.899999976,-0.00215485
42,-0.100000001,0.00684931502,0.899999976,-0.00305005
43,-0.100000001,0.00958904065,0.899999976,-0.00379431
44,-0.100000001,0.0123287672,0.899999976,-0.0042976
45,-0.100000001,0.0150684929,0.899999976,-0.00465548
46,-0.100000001,0.0178082194,0.899999976,-0.00479468
47,-0.100000001,0.0205479451,0.899999976,-0.00475796
48,-0.100000001,0.0232876707,0.899999976,-0.00451912
49,-0.100000001,0.0260273982,0.899999976,-0.0041472
50,-0.100000001,0.0287671238,0.899999976,-0.00348829
51,-0.100000001,0.0315068476,0.899999976,-0.0026839
52,-0.100000001,0.0342465751,0.899999976,-0.00173092
53,-0.100000001,0.0369863026,0.899999976,-0.00056538
54,-0.100000001,0.0397260264,0.899999976,0.000773492
55,-0.100000001,0.0424657539,0.899999976,0.00218664
56,-0.100000001,0.0452054776,0.899999976,0.00301903
57,-0.100000001,0.0479452051,0.899999976,0.00260653
58,-0.100000001,0.0506849326,0.899999976,0.00235848
59,-0.100000001,0.0534246564,0.899999976,0.00210496
60,-0.100000001,0.0561643839,0.899999976,0.00189242
61,-0.100000001,0.0589041114,0.899999976,0.00169429
62,-0.100000001,0.0616438352,0.899999976,0.0015365
63,-0.100000001,0.0643835589,0.899999976,0.00139865
64,-0.100000001,0.0671232864,0.899999976,0.00128224
65,-0.100000001,0.0698630139,0.899999976,0.00117081
66,-0.100000001,0.0726027414,0.899999976,0.00107216
67,-0.100000001,0.0753424689,0.899999976,0.000987863
68,-0.100000001,0.078082189,0.899999976,0.000904344
69,-0.100000001,0.0808219165,0.899999976,0.000837305
70,-0.100000001,0.083561644,0.899999976,0.000772162
71,-0.100000001,0.0863013715,0.899999976,0.000714816
72,-0.100000001,0.089041099,0.899999976,0.000660462
73,-0.100000001,0.091780819,0.899999976,0.000611737
74,-0.100000001,0.0945205465,0.899999976,0.000564124
75,-0.100000001,0.097260274,0.899999976,0.000520517
76,-0.097260274,0.100000001,0.899999976,0.000548622
77,-0.0945205465,0.100000001,0.899999976,0.000630753
78,-0.091780819,0.100000001,0.899999976,0.000722574
79,-0.089041099,0.100000001,0.899999976,0.000831141
80,-0.0863013715,0.100000001,0.899999976,0.000956267
81,-0.083561644,0.100000001,0.899999976,0.0010897
82,-0.0808219165,0.100000001,0.899999976,0.00125556
83,-0.078082189,0.100000001,0.899999976,0.00141121
84,-0.0753424689,0.100000001,0.899999976,0.00163359
85,-0.0726027414,0.100000001,0.899999976,0.00177544
86,-0.0698630139,0.100000001,0.899999976,0.00208817
87,-0.0671232864,0.100000001,0.899999976,0.00210855
88,-0.0643835589,0.100000001,0.899999976,0.00267838
89,-0.0616438352,0.100000001,0.899999976,0.00165175
90,-0.0589041114,0.100000001,0.899999976,0.00069785
91,-0.0561643839,0.100000001,0.899999976,-9.9862e-05
92,-0.0534246564,0.100000001,0.899999976,-0.000799764
93,-0.0506849326,0.100000001,0.899999976,-0.00126928
94,-0.0479452051,0.100000001,0.899999976,-0.00158748
95,-0.0452054776,0.100000001,0.899999976,-0.00172358
96,-0.0424657539,0.100000001,0.899999976,-0.00168013
97,-0.0397260264,0.100000001,0.899999976,-0.0014692
98,-0.0369863026,0.100000001,0.899999976,-0.00107965
99,-0.0342465751,0.100000001,0.899999976,-0.000500003
100,-0.0315068476,0.100000001,0.899999976,0.000242458
101,-0.0287671238,0.100000001,0.899999976,0.00124809
102,-0.0260273982,0.100000001,0.899999976,0.00219022
103,-0.0232876707,0.100000001,0.899999976,0.00371147
104,-0.0205479451,0.100000001,0.899999976,0.00424345
105,-0.0178082194,0.100000001,0.899999976,0.00321814
106,-0.0150684929,0.100000001,0.899999976,0.00183602
107,-0.0123287672,0.100000001,0.899999976,0.000743312
108,-0.00958904065,0.100000001,0.899999976,-0.000226716
109,-0.00684931502,0.100000001,0.899999976,-0.000865165
110,-0.00410958892,0.100000001,0.899999976,-0.0013924
111,-0.00136986305,0.100000001,0.899999976,-0.00162613
112,0.00136986305,0.100000001,0.899999976,-0.00164572
113,0.00410958892,0.100000001,0.899999976,-0.00148709
114,0.00684931502,0.100000001,0.899999976,-0.00112134
115,0.00958904065,0.100000001,0.899999976,-0.000582146
116,0.0123287672,0.100000001,0.899999976,0.000158373
117,0.0150684929,0.100000001,0.899999976,0.0010437
118,0.0178082194,0.100000001,0.899999976,0.00202754
119,0.0205479451,0.100000001,0.899999976,0.00328227
120,0.0232876707,0.100000001,0.899999976,0.00263824
121,0.0260273982,0.100000001,0.899999976,0.00270746
122,0.0287671238,0.100000001,0.899999976,0.00239852
123,0.0315068476,0.100000001,0.899999976,0.00228598
124,0.0342465751,0.100000001,0.899999976,0.00214304
125,0.0369863026,0.100000001,0.899999976,0.002034
126,0.0397260264,0.100000001,0.899999976,0.00189456
127,0.0424657539,0.100000001,0.899999976,0.00178836
128,0.0452054776,0.100000001,0.899999976,0.00167444
129,0.0479452051,0.100000001,0.899999976,0.00155196
130,0.0506849326,0.100000001,0.899999976,0.00146958
131,0.0534246564,0.100000001,0.899999976,0.00139081
132,0.0561643839,0.100000001,0.899999976,0.00131087
133,0.0589041114,0.100000001,0.899999976,0.00122736
134,0.0616438352,0.100000001,0.899999976,0.00114864
135,0.0643835589,0.100000001,0.899999976,0.00107919
136,0.0671232864,0.100000001,0.899999976,0.00100227
137,0.0698630139,0.100000001,0.899999976,0.000931541
138,0.0726027414,0.100000001,0.899999976,0.000859333
139,0.0753424689,0.100000001,0.899999976,0.00079193
140,0.078082189,0.100000001,0.899999976,0.000728187
141,0.0808219165,0.100000001,0.899999976,0.000664621
142,0.083561644,0.100000001,0.899999976,0.000606327
143,0.0863013715,0.100000001,0.899999976,0.000550974
144,0.089041099,0.100000001,0.899999976,0.000497704
145,0.091780819,0.100000001,0.899999976,0.000449058
146,0.0945205465,0.100000001,0.899999976,0.00040288
147,0.097260274,0.100000001,0.899999976,0.000361993
148,0.097260274,-0.100000001,0.899999976,0.000709089
149,0.0945205465,-0.100000001,0.899999976,0.00080499
