coverage,sequence,impacts,filename,position
16,0,5,heightmap_sequence-0_impacts-5_coverage-16.csv,0
33,0,10,heightmap_sequence-0_impacts-10_coverage-33.csv,1
50,0,15,heightmap_sequence-0_impacts-15_coverage-50.csv,2
66,0,20,heightmap_sequence-0_impacts-20_coverage-66.csv,3
83,0,25,heightmap_sequence-0_impacts-25_coverage-83.csv,4
100,0,29,heightmap_sequence-0_impacts-29_coverage-100.csv,5
16,1,5,heightmap_sequence-1_impacts-5_coverage-16.csv,6
33,1,10,heightmap_sequence-1_impacts-10_coverage-33.csv,7
50,1,15,heightmap_sequence-1_impacts-15_coverage-50.csv,8
66,1,20,heightmap_sequence-1_impacts-20_coverage-66.csv,9
83,1,25,heightmap_sequence-1_impacts-25_coverage-83.csv,10
100,1,30,heightmap_sequence-1_impacts-30_coverage-100.csv,11
100,1,32,heightmap_sequence-1_impacts-32_coverage-100.csv,12
16,2,5,heightmap_sequence-2_impacts-5_coverage-16.csv,13
33,2,10,heightmap_sequence-2_impacts-10_coverage-33.csv,14
50,2,15,heightmap_sequence-2_impacts-15_coverage-50.csv,15
66,2,20,heightmap_sequence-2_impacts-20_coverage-66.csv,16
83,2,25,heightmap_sequence-2_impacts-25_coverage-83.csv,17
100,2,29,heightmap_sequence-2_impacts-29_coverage-100.csv,18
16,3,5,heightmap_sequence-3_impacts-5_coverage-16.csv,19
33,3,10,heightmap_sequence-3_impacts-10_coverage-33.csv,20
50,3,15,heightmap_sequence-3_impacts-15_coverage-50.csv,21
66,3,20,heightmap_sequence-3_impacts-20_coverage-66.csv,22
83,3,25,heightmap_sequence-3_impacts-25_coverage-83.csv,23
100,3,30,heightmap_sequence-3_impacts-30_coverage-100.csv,24
16,4,5,heightmap_sequence-4_impacts-5_coverage-16.csv,25
33,4,10,heightmap_sequence-4_impacts-10_coverage-33.csv,26
50,4,15,heightmap_sequence-4_impacts-15_coverage-50.csv,27
66,4,20,heightmap_sequence-4_impacts-20_coverage-66.csv,28
83,4,25,heightmap_sequence-4_impacts-25_coverage-83.csv,29
100,4,30,heightmap_sequence-4_impacts-30_coverage-100.csv,30
16,5,5,heightmap_sequence-5_impacts-5_coverage-16.csv,31
33,5,10,heightmap_sequence-5_impacts-10_coverage-33.csv,32
50,5,15,heightmap_sequence-5_impacts-15_coverage-50.csv,33
66,5,20,heightmap_sequence-5_impacts-20_coverage-66.csv,34
83,5,25,heightmap_sequence-5_impacts-25_coverage-83.csv,35
100,5,27,heightmap_sequence-5_impacts-27_coverage-100.csv,36
16,6,5,heightmap_sequence-6_impacts-5_coverage-16.csv,37
33,6,10,heightmap_sequence-6_impacts-10_coverage-33.csv,38
50,6,15,heightmap_sequence-6_impacts-15_coverage-50.csv,39
66,6,20,heightmap_sequence-6_impacts-20_coverage-66.csv,40
83,6,25,heightmap_sequence-6_impacts-25_coverage-83.csv,41
100,6,30,heightmap_sequence-6_impacts-30_coverage-100.csv,42
100,6,33,heightmap_sequence-6_impacts-33_coverage-100.csv,43
